id_proposta;uf_proponente;municipio_beneficiario;orgao_superior;natureza_juridica;nr_proposta;ano_proposta;orgao_concedente;modalidade;proponente;nr_convenio;dt_assinatura;situacao;subsituacao;dt_inicio_vigencia;dt_fim_vigencia;valor_global;valor_repasse;valor_contrapartida;valor_empenhado;valor_desembolsado;valor_saldo_tesouro;vl_saldo_reman_convenente;vl_rendimento_aplicacao;vl_ingresso_contrapartida;valor_saldo_conta;ano_assinatura;nr_emenda;parlamentar;tipo_parlamentar;valor_emenda;valor_pago
75834;TO;PUGMIL;MINISTERIO DAS CIDADES;Administração Pública Municipal;39131/2009;2009;MINISTERIO DAS CIDADES;CONTRATO DE REPASSE;MUNICIPIO DE PUGMIL;729047;;Proposta/Plano de Trabalho Complementado Enviado para Análise;;01/08/2009;31/12/2009;202474.23;196400.0;6074.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;0.0;0.0
2071268;TO;ANANÁS;MINISTERIO DAS CIDADES;Administração Pública Municipal;13741/2025;2025;MINISTERIO DAS CIDADES;CONTRATO DE REPASSE;MUNICIPIO DE ANANAS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
1125128;TO;PORTO NACIONAL;MINISTERIO DO TURISMO;Administração Pública Municipal;37074/2016;2016;MINISTERIO DO TURISMO;CONVENIO;MUNICIPIO DE PORTO NACIONAL;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;29180013.0 | 37750014;VICENTINHO ALVES | VICENTINHO JUNIOR;INDIVIDUAL;1490000.0;0.0
208013;TO;ALIANÇA DO TOCANTINS;MINISTERIO DO ESPORTE;Administração Pública Municipal;17371/2010;2010;MINISTERIO DO ESPORTE;CONTRATO DE REPASSE;MUNICIPIO DE ALIANCA DO TOCANTINS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
441102;TO;NOVO ALEGRE;MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL;Administração Pública Municipal;20344/2011;2011;MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL;CONVENIO;MUNICIPIO DE NOVO ALEGRE;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
1829646;TO;MAURILÂNDIA DO TOCANTINS;MINISTERIO DAS CIDADES;Administração Pública Municipal;33391/2022;2022;MINISTERIO DAS CIDADES;CONTRATO DE REPASSE;MUNICIPIO DE MAURILANDIA DO TOCANTINS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
587435;TO;GURUPI;MINISTERIO DAS CIDADES;Administração Pública Municipal;18942/2012;2012;MINISTERIO DAS CIDADES;CONTRATO DE REPASSE;MUNICIPIO DE GURUPI;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;26920005.0;JUNIOR COIMBRA;INDIVIDUAL;394200.0;0.0
524116;TO;DUERÉ;MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR;Administração Pública Municipal;73268/2011;2011;MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR;CONTRATO DE REPASSE;MUNICIPIO DE DUERE;764435;29/12/2011;Convênio Anulado;;29/12/2011;29/12/2013;1500000.0;1470000.0;30000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2011;;;;0.0;0.0
1012110;TO;DIANÓPOLIS;MINISTERIO DA SAUDE;Administração Pública Municipal;40786/2015;2015;FUNDACAO NACIONAL DE SAUDE;CONVENIO;MUNICIPIO DE DIANOPOLIS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
800784;TO;ARAGUAÍNA;MINISTÉRIO DA AGRICULTURA E PECUÁRIA;Administração Pública Municipal;88251/2013;2013;MINISTÉRIO DA AGRICULTURA E PECUÁRIA;CONVENIO;MUNICIPIO DE ARAGUAINA;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
